target,m,m_total,delta_median,delta_max,J_star_proxy,mdelta_med_ratio,mdelta_max_ratio,coverage,obs_fraction
ordering_decimals_new,32,44,0.06560622774035718,0.43509677632858035,47.05260074763784,0.044618134902921915,0.29590493663017226,0.625,0.7272727272727273
ordering_improper_fractions_and_mixed_numbers,83,99,0.09416258234025715,0.4403701299978366,124.61577225205488,0.06271673475194844,0.2933073408708722,0.8313253012048193,0.8383838383838383
ordering_numbers,84,100,0.0917448901480353,0.48131313131313125,127.75756363083812,0.06032183577563742,0.3164611306077221,0.8333333333333334,0.84
ordering_objects,0,1,,,0.0,,,0.0,0.0
parabola_intuition_3,132,150,0.10661116329859266,0.4633152173913043,310.86128050043834,0.045269946558668915,0.1967360122727344,0.8106060606060606,0.88
parallelogram_concept_and_application,86,97,0.08890183066286894,0.43509677632858035,136.58870154365007,0.05597503564058272,0.27394888699706993,0.8255813953488372,0.8865979381443299
percentage_concept,67,78,0.0777170306850738,0.43509677632858035,112.99846638984508,0.04608063474008254,0.2579812358996287,0.7761194029850746,0.8589743589743589
percentage_word_problems_2,91,108,0.1005543181969284,0.4403701299978366,157.60661882467508,0.05805874793938463,0.2542639524192949,0.8461538461538461,0.8425925925925926
perimeter_deduction,68,80,0.07518912779190257,0.43509677632858035,95.76053349935357,0.053392149176820204,0.3089642435058404,0.7794117647058824,0.85
perimeter_of_sector,4,4,0.2731012115078449,0.33444187391555813,21.379373206772588,0.051096205462437316,0.06257281178095776,0.75,1.0
permutations_1,87,103,0.09416258234025715,0.4403701299978366,137.29653965677724,0.059667524644696976,0.2790471005721419,0.8390804597701149,0.8446601941747572
place_value_big_number,34,45,0.06560622774035718,0.43509677632858035,49.75383894102461,0.04483295742899729,0.29732962742245606,0.6470588235294118,0.7555555555555555
planting_problems,88,104,0.09543845274582866,0.4403701299978366,137.89132562296498,0.060907267398364814,0.28103705047966854,0.8409090909090909,0.8461538461538461
plotting_the_line_of_best_fit,33,41,0.06560622774035718,0.43509677632858035,43.623955236562914,0.04962882213892455,0.32913552980196065,0.6666666666666666,0.8048780487804879
plugging_in_values,112,128,0.10173793840541823,0.4403701299978366,184.94086923563168,0.06161239075225179,0.26668769733593944,0.8482142857142857,0.875
polygon_geometry_characteristic,108,123,0.09021257781663228,0.5536213195787664,191.8373441248392,0.05078760055110022,0.3116760336068736,0.8240740740740741,0.8780487804878049
polygon_similarity,113,128,0.09471393025069338,0.5536213195787664,188.8255072615813,0.056680234961592676,0.33130698293709276,0.831858407079646,0.8828125
position_relation_between_circle_point,2,2,0.4374922021210231,0.4374922021210231,11.76534378572595,0.07436964190571313,0.07436964190571313,0.5,1.0
product_rule,190,212,0.1376111091864206,0.7878919860627177,387.98807273482424,0.06738895492617329,0.3858352559570317,0.8631578947368421,0.8962264150943396
proportional_life_problems,3,3,0.03398926654740608,0.03398926654740608,9.843748225809504,0.010358635481438564,0.010358635481438564,0.3333333333333333,1.0
proportional_or_inverse_proportional,110,126,0.10623636751807786,0.4403701299978366,196.51746647454272,0.0594654543264346,0.24649571953461522,0.8363636363636363,0.873015873015873
pythagorean_theorem_2,113,129,0.09863432067416428,0.7878919860627177,205.82205514558194,0.054152011203546714,0.4325668323645548,0.8495575221238938,0.875968992248062
quadratic_function_word_problem,111,127,0.10114612830117331,0.4403701299978366,187.194133787341,0.05997634655680368,0.2611250867791106,0.8108108108108109,0.8740157480314961
quadratics_word_problems,128,144,0.10661116329859266,0.4633152173913043,230.76454705891175,0.05913485878199532,0.25699072315015176,0.8203125,0.8888888888888888
quotient_rule,190,212,0.1376111091864206,0.7878919860627177,389.3473267812704,0.0671536927235882,0.3844882629334587,0.8631578947368421,0.8962264150943396
radical_equations,67,78,0.07518912779190257,0.43509677632858035,106.65379174197898,0.047233872136911964,0.2733281540007438,0.7910447761194029,0.8589743589743589
radius_angle_by_percentage,0,1,,,0.0,,,0.0,0.0
